"Metric  (type your numbers in the week columns →)","code","Feb 27","Mar 6","Mar 13","Mar 20","Mar 27","Apr 3","Apr 10","Apr 17","Apr 24","May 1","May 8","May 15","May 22","May 29"
"▼  MAJOR DONORS","","","","","","","","","","","","","","",""
"Asks made this week","d_ask","0","0","0","0","0","1","0","1","2","1","2","2","3","2"
"Prospects identified (running total)","d_pros","2","4","6","9","12","15","18","21","24","27","30","33","36","40"
"First reaches made (running total)","d_reach","0","1","2","4","6","8","10","12","14","16","18","20","22","24"
"Follow-up conversations held (running total)","d_follow","0","0","1","2","3","5","7","9","11","13","15","17","19","21"
"▼  MAJOR PARTNERS","","","","","","","","","","","","","","",""
"Decision-maker meetings this week","p_meet","0","0","0","1","0","1","1","0","2","1","1","2","1","2"
"Prospects identified (running total)","p_pros","3","5","8","10","12","14","16","18","20","22","24","26","28","30"
"Initial connection made (running total)","p_conn","0","1","2","3","4","6","7","9","10","12","13","15","16","18"
"Follow-up conversations held (running total)","p_follow","0","0","1","1","2","3","4","5","6","8","9","10","11","13"
"▼  OPERATING LEVERAGE","","","","","","","","","","","","","","",""
"AI agents actually in use","g3_inu","1","2","3","5","6","8","11","14","17","20","24","28","33","38"
"Repeating tasks an agent could take over (running total)","g3_task","5","9","14","18","22","27","31","36","40","45","50","54","59","63"
"AI agents built (running total)","g3_blt","2","4","6","9","12","15","19","23","27","32","37","42","48","54"
"Agents that run on their own","g3_solo","0","0","0","0","1","1","1","2","2","2","2","3","3","4"
"▼  MAJOR IMPACT","","","","","","","","","","","","","","",""
"Top-tier media inbound inquiries","b_key","0","0","0","0","0","0","0","0","1","0","0","1","0","1"
"Mainstream campaign ideas generated (running total)","b_ideas","2","3","5","6","8","10","11","13","14","16","18","19","21","23"
"Mainstream campaign ideas launched (running total)","b_launch","0","1","1","2","2","3","3","4","4","5","5","6","7","8"
"Mainstream campaigns with 1M+ impressions (running total)","b_1m","0","0","0","0","1","1","1","2","2","2","3","3","4","4"
"Organic social posts with 10K+ impressions (running total)","b_social","1","2","4","5","7","9","11","13","15","18","21","24","28","32"
"Heartfelt thank-you messages received (running total)","dp_key","0","3","7","13","22","35","52","75","105","145","195","260","340","440"
"People helped in a significant way (running total)","dp_helped","0","3","7","12","18","25","34","45","58","73","90","110","135","165"
"▼  COMMERCIAL SUCCESS","","","","","","","","","","","","","","",""
"Net margin — money left after ads & shipping","c_nm","42","45","38","51","55","48","60","58","62","57","65","70","68","75"
"Net margin — same week last year","c_nm_vs","40","41","39","44","46","45","50","49","52","50","55","57","58","60"
"MEAR — revenue ÷ total marketing spend","c_mear","1.9","1.95","1.9","2","2.05","2","2.1","2.05","2.15","2.1","2.2","2.15","2.25","2.3"
"Returning customers","c_ret","120","135","128","150","160","148","175","168","185","172","198","210","205","225"
"Sales / revenue ($ thousands)","c_sales","180","190","170","210","225","205","245","238","255","235","268","285","278","305"
"Winning products (top 25% of their category)","wp_key","0","0","0","0","1","1","1","2","2","2","3","3","3","4"
"New products or versions in development","wp_dev","2","3","3","4","4","5","5","5","6","6","6","7","7","8"
"New products or versions passing the scorecard ✱ (running total)","wp_score","0","0","1","1","2","2","3","3","4","4","5","5","6","6"
"Winning campaigns — 250K+ impressions at neutral margin (after ads & product cost)","wc_key","0","0","0","0","0","1","1","1","2","2","2","3","3","3"
"New campaign ideas (running total)","wc_ideas","2","3","5","6","8","9","11","12","14","15","17","18","20","22"
"New campaigns in development","wc_dev","1","2","2","3","3","3","4","4","4","5","5","5","6","6"
"Campaigns passing the scorecard ✱ (running total)","wc_score","0","1","1","2","2","3","3","4","4","5","5","6","6","7"
"New campaigns launched (running total)","wc_launch","0","0","1","1","2","2","3","3","4","4","5","5","6","6"
